Notes,State of Residence,State of Residence Code,2023 Metro/Nonmetro,2023 Metro/Nonmetro Code,Mother's Hispanic Origin,Mother's Hispanic Origin Code,Source of Payment for Delivery,Source of Payment for Delivery Code,Maternal Morbidity Checked,Maternal Morbidity Checked Code,Births
,Alaska,2,Nonmetro,Nonmetro,Hispanic or Latino,2135-2,Private Insurance,2,None checked,1,182
,Alaska,2,Nonmetro,Nonmetro,Hispanic or Latino,2135-2,Self Pay,3,None checked,1,22
,Alaska,2,Nonmetro,Nonmetro,Hispanic or Latino,2135-2,Other,4,None checked,1,71
,Alaska,2,Nonmetro,Nonmetro,Hispanic or Latino,2135-2,Unknown or Not Stated,9,None checked,1,13
,Alaska,2,Nonmetro,Nonmetro,Not Hispanic or Latino,2186-5,Medicaid,1,At least one checked,0,212
,Alaska,2,Nonmetro,Nonmetro,Not Hispanic or Latino,2186-5,Medicaid,1,None checked,1,3895
,Alaska,2,Nonmetro,Nonmetro,Not Hispanic or Latino,2186-5,Medicaid,1,Unknown or Not Stated,9,24
,Alaska,2,Nonmetro,Nonmetro,Not Hispanic or Latino,2186-5,Private Insurance,2,At least one checked,0,73
,Alaska,2,Nonmetro,Nonmetro,Not Hispanic or Latino,2186-5,Private Insurance,2,None checked,1,2674
,Alaska,2,Nonmetro,Nonmetro,Not Hispanic or Latino,2186-5,Self Pay,3,None checked,1,220
,Alaska,2,Nonmetro,Nonmetro,Not Hispanic or Latino,2186-5,Other,4,At least one checked,0,60
,Alaska,2,Nonmetro,Nonmetro,Not Hispanic or Latino,2186-5,Other,4,None checked,1,1213
,Alaska,2,Nonmetro,Nonmetro,Not Hispanic or Latino,2186-5,Other,4,Unknown or Not Stated,9,16
,Alaska,2,Nonmetro,Nonmetro,Not Hispanic or Latino,2186-5,Unknown or Not Stated,9,At least one checked,0,10
,Alaska,2,Nonmetro,Nonmetro,Not Hispanic or Latino,2186-5,Unknown or Not Stated,9,None checked,1,383
,Alaska,2,Nonmetro,Nonmetro,Not Hispanic or Latino,2186-5,Unknown or Not Stated,9,Unknown or Not Stated,9,19
,Alaska,2,Nonmetro,Nonmetro,Unknown or Not Stated,9,Medicaid,1,None checked,1,188
,Alaska,2,Nonmetro,Nonmetro,Unknown or Not Stated,9,Medicaid,1,Unknown or Not Stated,9,10
,Alaska,2,Nonmetro,Nonmetro,Unknown or Not Stated,9,Private Insurance,2,None checked,1,104
,Alaska,2,Nonmetro,Nonmetro,Unknown or Not Stated,9,Self Pay,3,None checked,1,13
,Alaska,2,Nonmetro,Nonmetro,Unknown or Not Stated,9,Other,4,None checked,1,55
,Alaska,2,Nonmetro,Nonmetro,Unknown or Not Stated,9,Unknown or Not Stated,9,None checked,1,37
,Arizona,4,Metro,Metro,Hispanic or Latino,2135-2,Medicaid,1,At least one checked,0,944
,Arizona,4,Metro,Metro,Hispanic or Latino,2135-2,Medicaid,1,None checked,1,66329
,Arizona,4,Metro,Metro,Hispanic or Latino,2135-2,Private Insurance,2,At least one checked,0,542
,Arizona,4,Metro,Metro,Hispanic or Latino,2135-2,Private Insurance,2,None checked,1,37952
