,Texas,California,New Hampshire,Alabama,Nebraska
2023 Metro/Nonmetro_Nonmetro,-0.19290961354199943,-0.22027423052710535,-0.07529805480025094,-0.08347529812606465,-0.11972592859718711
Mother's Hispanic Origin_Not Hispanic or Latino,-1.3268082911072202e-16,0.040151245445630195,0.18845429826396137,0.0034071550255537057,0.038946988820771855
Mother's Hispanic Origin_Unknown or Not Stated,-0.30597253273714486,-0.08500872824390915,-0.34616189081782045,-0.5400340715502554,-0.5403894698882075
Source of Payment for Delivery_Other,-0.2411370169274994,-0.12753779702388238,-0.11462037230704904,-1.0389341227836688e-16,-0.1866209880995315
Source of Payment for Delivery_Private Insurance,-1.870952252855276e-16,-0.06183575902194288,0.0715331520602384,-5.973912217188931e-17,-2.683490029102124e-16
Source of Payment for Delivery_Self Pay,-0.06802938358351976,-0.20337903842118368,-1.1065907469798025e-16,-0.18057921635434393,-0.08276235124414011
Source of Payment for Delivery_Unknown or Not Stated,-0.24113701692749945,-0.2815034019637551,-0.5107718050617027,-0.5144804088586028,-0.5000000000000003
