,State of Residence,morbidity_rate_q1,morbidity_rate_q2,morbidity_rate_combined
0,Alabama,0.011981594508394125,0.013447634064678379,0.012714614286536252
1,California,0.012991882158588711,0.013316044412907546,0.013153963285748128
2,Nebraska,0.015286579022037264,0.01852481903398759,0.016905699028012425
3,New Hampshire,0.025754753969809842,0.030138972809667673,0.027946863389738757
4,Texas,0.008521608337457772,0.00875892456569342,0.008640266451575597
