"Notes","State of Residence","State of Residence Code","2023 Metro/Nonmetro","2023 Metro/Nonmetro Code","Mother's Hispanic Origin","Mother's Hispanic Origin Code","Source of Payment for Delivery","Source of Payment for Delivery Code","Maternal Morbidity Checked","Maternal Morbidity Checked Code",Births
,"California","06","Metro","Metro","Not Hispanic or Latino","2186-5","Other","4","None checked","1",25237
,"California","06","Metro","Metro","Not Hispanic or Latino","2186-5","Other","4","Unknown or Not Stated","9",52
,"California","06","Metro","Metro","Not Hispanic or Latino","2186-5","Unknown or Not Stated","9","At least one checked","0",131
,"California","06","Metro","Metro","Not Hispanic or Latino","2186-5","Unknown or Not Stated","9","None checked","1",4058
,"California","06","Metro","Metro","Not Hispanic or Latino","2186-5","Unknown or Not Stated","9","Unknown or Not Stated","9",120
,"California","06","Metro","Metro","Unknown or Not Stated","9","Medicaid","1","At least one checked","0",139
,"California","06","Metro","Metro","Unknown or Not Stated","9","Medicaid","1","None checked","1",11085
,"California","06","Metro","Metro","Unknown or Not Stated","9","Medicaid","1","Unknown or Not Stated","9",33
,"California","06","Metro","Metro","Unknown or Not Stated","9","Private Insurance","2","At least one checked","0",609
,"California","06","Metro","Metro","Unknown or Not Stated","9","Private Insurance","2","None checked","1",29395
,"California","06","Metro","Metro","Unknown or Not Stated","9","Private Insurance","2","Unknown or Not Stated","9",23
,"California","06","Metro","Metro","Unknown or Not Stated","9","Self Pay","3","At least one checked","0",18
,"California","06","Metro","Metro","Unknown or Not Stated","9","Self Pay","3","None checked","1",1908
,"California","06","Metro","Metro","Unknown or Not Stated","9","Self Pay","3","Unknown or Not Stated","9",42
,"California","06","Metro","Metro","Unknown or Not Stated","9","Other","4","At least one checked","0",41
,"California","06","Metro","Metro","Unknown or Not Stated","9","Other","4","None checked","1",2461
,"California","06","Metro","Metro","Unknown or Not Stated","9","Other","4","Unknown or Not Stated","9",13
,"California","06","Metro","Metro","Unknown or Not Stated","9","Unknown or Not Stated","9","None checked","1",388
,"California","06","Metro","Metro","Unknown or Not Stated","9","Unknown or Not Stated","9","Unknown or Not Stated","9",49
,"California","06","Nonmetro","Nonmetro","Hispanic or Latino","2135-2","Medicaid","1","At least one checked","0",99
,"California","06","Nonmetro","Nonmetro","Hispanic or Latino","2135-2","Medicaid","1","None checked","1",4900
,"California","06","Nonmetro","Nonmetro","Hispanic or Latino","2135-2","Private Insurance","2","At least one checked","0",44
,"California","06","Nonmetro","Nonmetro","Hispanic or Latino","2135-2","Private Insurance","2","None checked","1",2154
,"California","06","Nonmetro","Nonmetro","Hispanic or Latino","2135-2","Self Pay","3","None checked","1",106
,"California","06","Nonmetro","Nonmetro","Hispanic or Latino","2135-2","Other","4","None checked","1",303
,"California","06","Nonmetro","Nonmetro","Hispanic or Latino","2135-2","Unknown or Not Stated","9","None checked","1",26
,"California","06","Nonmetro","Nonmetro","Not Hispanic or Latino","2186-5","Medicaid","1","At least one checked","0",113
,"California","06","Nonmetro","Nonmetro","Not Hispanic or Latino","2186-5","Medicaid","1","None checked","1",7149
,"California","06","Nonmetro","Nonmetro","Not Hispanic or Latino","2186-5","Medicaid","1","Unknown or Not Stated","9",11
